Unnamed: 0,additionalrooms,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,carpetarea,facing,floor,locality,neworold,opensides,overlooking,ownership,possesiondate,price,pricepersquare,projectname,roadfaceing,status,totalfloor
19281,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",770 sq ft,1,1,1 BHK Apartment ,,East,"4, ",Kalyani Nagar,Resale,,"Garden View, Pool View, Road View",Freehold,,5800000.0,"₹ 7,532/ sq ft ",,,"Ready to move,Unfurnished",11
19282,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",750 sq ft,1,1,1 BHK Apartment ,,North,"3, ",Kalyani Nagar,Resale,,Garden View,Freehold,,7000000.0,"₹ 9,333/ sq ft ",,,"Ready to move,Unfurnished",7
19283,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting","Sports Facility,Jogging Track,Landscaped Gardens","1,200 sq ft",2,2,2 BHK Apartment ,,East,"6, ",Kalyani Nagar,Resale,,Garden View,Freehold,,7500000.0,"₹ 6,250/ sq ft ",,,"Ready to move,Unfurnished",10
19284,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,250 sq ft",3,2,2 BHK Apartment ,1000 sq ft,East,"1, ",Kalyani Nagar,Resale,,Garden View,Freehold,,7800000.0,"₹ 6,240/ sq ft ",,,"Ready to move,Unfurnished",10
19285,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,250 sq ft",1,2,2 BHK Apartment ,,East,"3, ",Kalyani Nagar,Resale,,Garden View,Freehold,,8500000.0,"₹ 6,800/ sq ft ",,,"Ready to move,Unfurnished",10
19286,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,150 sq ft",2,2,2 BHK Apartment ,1100 sq ft,East,"8, ",Kalyani Nagar,Resale,,"Road View, Garden View",Freehold,,8700000.0,"₹ 7,565/ sq ft ",,,"Ready to move,Unfurnished",10
19287,"2 rooms( servant room, pooja room )",,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Swimming Pool,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting","Children's play area,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","5,245 sq ft",3,5,5 BHK Apartment ,,East,"4, ",Koregaon Park,Resale,,"Garden View, Pool View, Road View",Freehold,,81300000.0,"₹ 15,500/ sq ft ",,,"Ready to move,Unfurnished",8
19288,"3 rooms( study room, servant room, pooja room )",,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Swimming Pool,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting","Children's play area,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","4,902 sq ft",1,4,4 BHK Apartment ,,East,"7, ",Koregaon Park,Resale,,"Garden View, Pool View, Road View",Freehold,,88000000.0,"₹ 17,951/ sq ft ",,,"Ready to move,Unfurnished",12
19289,"2 rooms( servant room, pooja room )",,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Swimming Pool,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting","Children's play area,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","4,902 sq ft",3,4,5 BHK Apartment ,,East,"2, ",Koregaon Park,Resale,,"Garden View, Pool View, Road View",Freehold,,88300000.0,"₹ 18,013/ sq ft ",,,"Ready to move,Unfurnished",9
19290,"2 rooms( servant room, pooja room )",,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Maintenance Staff,Cafeteria,Rain Water Harvesting","Children's play area,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","5,850 sq ft",3,2,4 BHK Apartment ,,East,"5, ",Koregaon Park,Resale,,"Garden View, Pool View, Road View",Freehold,,95700000.0,"₹ 16,358/ sq ft ",,,"Ready to move,Unfurnished",10
19291,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,750 sq ft",2,3,3 BHK Apartment ,,East,"6, ",Kalyani Nagar,Resale,,"Garden View, Pool View, Road View",Freehold,,17000000.0,"₹ 9,714/ sq ft ",,,"Ready to move,Unfurnished",9
19292,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Intercom,Rain Water Harvesting,ATM","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,700 sq ft",1,3,3 BHK Apartment ,1600 sq ft,North,"6, ",Kalyani Nagar,Resale,,"Road View, Garden View",Freehold,,18000000.0,"₹ 10,588/ sq ft ",,,"Ready to move,Unfurnished",9
19293,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,750 sq ft",2,3,3 BHK Apartment ,1500 sq ft,East,"5, ",Kalyani Nagar,Resale,,Garden View,Freehold,,19000000.0,"₹ 10,857/ sq ft ",,,"Ready to move,Unfurnished",10
19294,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens","Sports Facility,Jogging Track","3,390 sq ft",3,4,3 BHK Apartment ,,East,"7, ",Kharadi,Resale,,"Garden View, Pool View, Road View",Freehold,,20000000.0,"₹ 5,899/ sq ft ",,,"Ready to move,Unfurnished",13
19295,1 rooms( study room ),,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","3,400 sq ft",2,3,4 BHK Apartment ,3300 sq ft,East,"13, ",Kharadi,Resale,,"Garden View, Pool View, Road View",Freehold,,20500000.0,"₹ 6,029/ sq ft ",,,"Ready to move,Unfurnished",13
19296,1 rooms( servant room ),,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting,AC,Refrigerator,Sofa,Washing Machine,Wifi,BED","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wardrobe,TV,Dining Table,Gas connection","3,000 sq ft",3,5,4 BHK Apartment ,,North,Gr ,Kharadi,Resale,,"Pool View, Garden View",Freehold,,22000000.0,"₹ 7,333/ sq ft ",,,"Ready to move,Furnished",10
19297,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",926 sq ft,1,2,2 BHK Apartment ,,East,"2, ",Kalyani Nagar,Resale,,"Road View, Garden View",Freehold,,9500000.0,"₹ 10,259/ sq ft ",,,"Ready to move,Unfurnished",6
19298,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,600 sq ft",3,3,3 BHK Apartment ,,North,"4, ",Kalyani Nagar,Resale,,"Garden View, Pool View, Road View",Freehold,,10000000.0,"₹ 6,250/ sq ft ",,,"Ready to move,Unfurnished",8
19299,"2 rooms( study room, pooja room )",,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,250 sq ft",1,2,2 BHK Apartment ,,East,"6, ",Kalyani Nagar,Resale,,"Road View, Garden View",Freehold,,11000000.0,"₹ 8,800/ sq ft ",,,"Ready to move,Unfurnished",11
19300,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,540 sq ft",1,3,3 BHK Apartment ,,East,"10, ",Kalyani Nagar,Resale,,"Road View, Garden View",Freehold,,12000000.0,"₹ 7,792/ sq ft ",,,"Ready to move,Unfurnished",10
19301,1 rooms( servant room ),,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,500 sq ft",1,4,3 BHK Apartment ,1120 sq ft,East,"4, ",Kalyani Nagar,Resale,,"Garden View, Pool View, Road View",Freehold,,13000000.0,"₹ 8,666/ sq ft ",,,"Ready to move,Unfurnished",22
19302,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,400 sq ft",1,3,3 BHK Apartment ,,NorthWest,"6, ",Kalyani Nagar,Resale,,Garden View,Co-Operative Society,,14000000.0,"₹ 10,000/ sq ft ",,,"Ready to move,Unfurnished",11
19303,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,550 sq ft",2,3,3 BHK Apartment ,1250 sq ft,North,"7, ",Kalyani Nagar,Resale,,"Pool View, Garden View",Freehold,,15000000.0,"₹ 9,677/ sq ft ",,,"Ready to move,Unfurnished",12
19304,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,750 sq ft",2,4,3 BHK Apartment ,,North,"5, ",Kalyani Nagar,Resale,,"Garden View, Pool View, Road View",Freehold,,15500000.0,"₹ 8,857/ sq ft ",,,"Ready to move,Unfurnished",7
19305,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,350 sq ft",1,2,2 BHK Apartment ,,NorthEast,"1, ",Boat Club Road,Resale,,Road View,Freehold,,14500000.0,"₹ 10,740/ sq ft ",,,"Ready to move,Unfurnished",5
19306,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,000 sq ft",1,3,3 BHK Apartment ,,North,"3, ",Boat Club Road,Resale,,Garden View,Co-Operative Society,,25000000.0,"₹ 12,500/ sq ft ",,,"Ready to move,Unfurnished",3
19307,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,000 sq ft",1,4,3 BHK Apartment ,,North,"3, ",Boat Club Road,Resale,,Road View,Freehold,,23500000.0,"₹ 11,750/ sq ft ",,,"Ready to move,Unfurnished",3
19308,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,450 sq ft",1,2,2 BHK Apartment ,,East,"7, ",Boat Club Road,Resale,,Road View,Freehold,,26000000.0,"₹ 17,931/ sq ft ",,,"Ready to move,Unfurnished",11
19309,1 rooms( pooja room ),,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,165 sq ft",2,2,2 BHK Apartment ,,East,"7, ",Wagholi,Resale,,Garden View,Freehold,,5500000.0,"₹ 4,721/ sq ft ",,,"Ready to move,Unfurnished",11
19310,1 rooms( pooja room ),,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",Jogging Track,"1,315 sq ft",2,2,3 BHK Apartment ,,East,"5, ",Wagholi,Resale,,Garden View,Freehold,,6500000.0,"₹ 4,942/ sq ft ",Kolte Patil Ivy Estate Umang Pride,,"Ready to move,Unfurnished",11
19311,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,720 sq ft",2,3,3 BHK Apartment ,,East,"8, ",Wagholi,Resale,,Garden View,Freehold,,8500000.0,"₹ 4,941/ sq ft ",,,"Ready to move,Unfurnished",11
19312,1 rooms( servant room ),,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","2,500 sq ft",3,3,4 BHK Apartment ,,East,"1, ",Wagholi,Resale,,Road View,Freehold,,9000000.0,"₹ 3,600/ sq ft ",,,"Ready to move,Unfurnished",4
19313,"3 rooms( study room, servant room, pooja room )",,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",Jogging Track,"2,200 sq ft",2,4,4 BHK Apartment ,,NorthEast,"5, ",Wagholi,Resale,,Garden View,Freehold,,14500000.0,"₹ 6,590/ sq ft ",Kolte Patil Ivy Estate Umang Pride,,"Ready to move,Unfurnished",13
19314,1 rooms( servant room ),,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting","Lift Available,Sports Facility,Landscaped Gardens","1,700 sq ft",2,3,3 BHK Villa ,,East,,Shastri Nagar,Resale,,"Road View, Garden View",Freehold,,16500000.0,"₹ 9,705/ sq ft ",,,"Ready to move,Unfurnished",
19315,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",610 sq ft,1,1,1 BHK Apartment ,,East,"4, ",Shastri Nagar,Resale,,,Co-Operative Society,,5500000.0,"₹ 9,016/ sq ft ",,,"Ready to move,Unfurnished",7
19316,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,010 sq ft",1,2,2 BHK Apartment ,,East,"4, ",Shastri Nagar,Resale,,Garden View,Co-Operative Society,,8000000.0,"₹ 7,920/ sq ft ",,,"Ready to move,Unfurnished",6
19317,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,010 sq ft",2,2,2 BHK Apartment ,,North,Gr ,Shastri Nagar,Resale,,Garden View,Freehold,,8200000.0,"₹ 8,118/ sq ft ",,,"Ready to move,Unfurnished",7
19318,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens","Gymnasium,Sports Facility,Jogging Track","1,050 sq ft",2,2,2 BHK Apartment ,,East,"1, ",Shastri Nagar,Resale,,Garden View,Co-Operative Society,,9000000.0,"₹ 8,571/ sq ft ",,,"Ready to move,Unfurnished",6
19319,1 rooms( pooja room ),,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting","Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,040 sq ft",2,2,2 BHK Apartment ,,West,"1, ",Shastri Nagar,Resale,,Garden View,Co-Operative Society,,9200000.0,"₹ 8,846/ sq ft ",,,"Ready to move,Unfurnished",6
19320,"2 rooms( servant room, pooja room )",6 - 7 years,"Lift Available,Car Parking,24 X 7 Security,Gymnasium,Swimming Pool","Power Backup,Children's play area,Club House,Sports Facility,Jogging Track,Landscaped Gardens","1,800 sq ft",2,3,3 BHK Apartment ,,East,"4, ",Kalyani Nagar,Resale,,,,,18000000.0,"₹ 10,000/ sq ft ",,,"Ready to move,Unfurnished",8
19321,"2 rooms( servant room, pooja room )",6 - 7 years,"Lift Available,Car Parking,24 X 7 Security,Gymnasium,Swimming Pool","Power Backup,Children's play area,Club House,Sports Facility,Jogging Track,Landscaped Gardens","1,535 sq ft",5,4,3 BHK Apartment ,,East,"4, ",Boat Club Road,Resale,,,,,11900000.0,"₹ 7,752/ sq ft ",,,"Ready to move,Unfurnished",6
19322,,6 - 7 years,"Car Parking,24 X 7 Security,Children's play area,Swimming Pool,Landscaped Gardens,Wardrobe,Sofa,Dining Table,BED","Lift Available,Power Backup,Club House,Gymnasium,Sports Facility,Jogging Track,AC,TV,Refrigerator,Wifi,Gas connection","1,900 sq ft",1,3,3 BHK Villa ,,East,,Kharadi,Resale,,,,,22500000.0,"₹ 11,842/ sq ft ",,,"Ready to move,Furnished",
19323,,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium","Children's play area,Club House,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,050 sq ft",1,2,2 BHK Apartment ,,East,"1, ",Kharadi,Resale,,,,,5500000.0,"₹ 5,238/ sq ft ",,,"Ready to move,Unfurnished",7
19324,1 rooms( servant room ),1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium","Children's play area,Club House,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,300 sq ft",2,3,3 BHK Apartment ,,East,"6, ",Kharadi,Resale,,,,,7000000.0,"₹ 5,384/ sq ft ",,,"Ready to move,Unfurnished",8
19325,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium","Children's play area,Club House,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,208 sq ft",2,2,2 BHK Apartment ,,East,"4, ",Kharadi,Resale,,,,,6200000.0,"₹ 5,132/ sq ft ",,,"Ready to move,Unfurnished",5
19326,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Wardrobe,Sofa","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Wifi,Dining Table,Gas connection,BED","1,160 sq ft",2,2,2 BHK Apartment ,,East,"4, ",Wagholi,Resale,,,,,5400000.0,"₹ 4,655/ sq ft ",,,"Ready to move,Unfurnished",12
19327,,3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,920 sq ft,,2,2 BHK Apartment ,,North,"7, ",Wagholi,Resale,,Garden View,Freehold,,4000000.0,"₹ 4,347/ sq ft ",Swati Morning Mist,,"Ready to move,Unfurnished",10
19328,,6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",,"5,350 sq ft",,4,4 BHK Apartment ,,North,"1, ",Kharadi,Resale,,,Freehold,,34800000.0,"₹ 6,504/ sq ft ",Marvel Zephyr,,"Ready to move,Unfurnished",4
19329,1 rooms( servant room ),11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","5,200 sq ft",4,4,4 BHK penthouse ,,,"9, ",Koregaon Park,Resale,,Garden View,Freehold,,47500000.0,"₹ 9,134/ sq ft ",,,"Ready to move,Unfurnished",10
19330,,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium","Children's play area,Club House,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,384 sq ft",,3,3 BHK Villa ,,East,Gr,Kharadi,Resale,,,Freehold,,25000000.0,"₹ 10,486/ sq ft ",,,"Ready to move,Unfurnished",
19331,,11 - 12 years,"Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track","Lift Available,Children's play area,Sports Facility,Landscaped Gardens","1,720 sq ft",,3,3 BHK Villa ,,East,Gr,Kharadi,Resale,,,Co-Operative Society,,12800000.0,"₹ 7,441/ sq ft ",,,"Ready to move,Unfurnished",
19332,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,470 sq ft",,3,3 BHK Apartment ,,,2,Wagholi,Resale,,,,,10000000.0,"₹ 6,802/ sq ft ",Builder Splendor County,,Unfurnished,
19333,"2 rooms( servant room, pooja room )",,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","4,083 sq ft",3,5,4 BHK Apartment ,,East,"13, ",Viman Nagar,Resale,,"Garden View, Pool View, Road View",Freehold,,40800000.0,"₹ 9,992/ sq ft ",,,"Ready to move,Unfurnished",18
19334,,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens","3,000 sq ft",,4,4 BHK Villa ,,NorthEast,Gr,Kalyani Nagar,Resale,,,Freehold,,35000000.0,"₹ 11,666/ sq ft ",,,"Ready to move,Unfurnished",
19335,,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","3,346 sq ft",,4,4 BHK Apartment ,,East,"3, ",Hadapsar,Resale,,,Co-Operative Society,,29000000.0,"₹ 8,667/ sq ft ",Panchshil One North,,"Ready to move,Unfurnished",12
19336,,2 - 3 years,"Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Lift Available,Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","5,000 sq ft",,4,4 BHK Villa ,,East,Gr,Kalyani Nagar,Resale,,,Freehold,,75000000.0,"₹ 15,000/ sq ft ",,,"Ready to move,Unfurnished",
19337,"3 rooms( study room, servant room, pooja room )",11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","3,450 sq ft",2,4,3 BHK Apartment ,,East,"6, ",Koregaon Park,Resale,,Garden View,Freehold,,51000000.0,"₹ 14,782/ sq ft ",,,"Ready to move,Unfurnished",10
19338,"3 rooms( study room, servant room, pooja room )",6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,600 sq ft",2,4,4 BHK Apartment ,,,"8, ",Koregaon Park,Resale,,Garden View,Freehold,,45000000.0,"₹ 17,307/ sq ft ",,,"Ready to move,Unfurnished",11
19339,,6 - 7 years,"Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Lift Available,Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens",750 sq ft,,2,2 BHK Villa ,,East,Gr,Kharadi,Resale,,,Freehold,,6200000.0,"₹ 8,266/ sq ft ",,,"Ready to move,Unfurnished",
19340,1 rooms( pooja room ),,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,255 sq ft",1,2,2 BHK Apartment ,,West,"3, ",Wagholi,Resale,,"Garden View, Pool View, Road View",Freehold,,7100000.0,"₹ 5,657/ sq ft ",,,"Ready to move,Unfurnished",12
19341,,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,550 sq ft",2,3,3 BHK Apartment ,,,"4, ",Wagholi,Resale,,,Freehold,,8000000.0,"₹ 5,161/ sq ft ",,,"Ready to move,Unfurnished",7
19342,1 rooms( pooja room ),,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,660 sq ft",1,3,3 BHK Apartment ,,East,"7, ",Wagholi,Resale,,"Garden View, Pool View, Road View",Freehold,,8100000.0,"₹ 4,879/ sq ft ",,,"Ready to move,Unfurnished",14
19343,,3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Club House,Sports Facility,Landscaped Gardens","3,200 sq ft",,3,3 BHK Villa ,,East,Gr,Wagholi,Resale,,,Freehold,,14500000.0,"₹ 4,531/ sq ft ",Builder Ivy Estates,,"Ready to move,Unfurnished",
19344,,2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Club House,Sports Facility,Landscaped Gardens","3,200 sq ft",,3,3 BHK Villa ,,East,Gr,Wagholi,Resale,,,Freehold,,10800000.0,"₹ 3,375/ sq ft ",,,"Ready to move,Unfurnished",
