Unnamed: 0,additionalrooms,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,carpetarea,facing,floor,locality,neworold,opensides,overlooking,ownership,possesiondate,price,pricepersquare,projectname,roadfaceing,status,totalfloor
9909,1 rooms( pooja room ),5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,075 sq ft",2,2,2 BHK Apartment ,,East,"5, ",Kharadi,Resale,,"Garden View, Pool View, Road View",Freehold,,7100000.0,"₹ 6,604/ sq ft ",VTP Urban Nirvana,,"Ready to move,Unfurnished",12
9910,1 rooms( servant room ),7 - 8 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","2,345 sq ft",3,3,3 BHK Apartment ,,NorthEast,"7, ",Kharadi,Resale,,Road View,Freehold,,15000000.0,"₹ 6,396/ sq ft ",Marvel Zephyr,,"Ready to move,Semi-Furnished",12
9911,,7 - 8 years,"Children's play area,Club House,Gymnasium,Swimming Pool,Maintenance Staff,Intercom,Multipurpose Room,Landscaped Gardens,BED","Lift Available,Power Backup,24 X 7 Security,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,500 sq ft",2,3,3 BHK Apartment ,,North,"4, ",Kharadi,Resale,,Road View,Co-Operative Society,,8900000.0,"₹ 5,933/ sq ft ",Goel Ganga Constella,,"Ready to move,Semi-Furnished",8
9912,1 rooms( servant room ),3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",,"3,400 sq ft",1,5,3 BHK Apartment ,,North,"6, ",Kharadi,Resale,,"Garden View, Pool View, Road View",Freehold,,18000000.0,"₹ 5,294/ sq ft ",Marvel Zephyr,,"Ready to move,Unfurnished",6
9913,,10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,539 sq ft",1,3,3 BHK Apartment ,,East,"10, ",Kalyani Nagar,Resale,,,Freehold,,12000000.0,"₹ 7,797/ sq ft ",,,"Ready to move,Unfurnished",10
9914,,10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,600 sq ft",2,3,3 BHK Apartment ,,East,"4, ",Kalyani Nagar,Resale,,,Freehold,,12000000.0,"₹ 7,500/ sq ft ",,,"Ready to move,Unfurnished",9
9915,,10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,968 sq ft",3,3,3 BHK Apartment ,,East,"2, ",Kalyani Nagar,Resale,,,Freehold,,23500000.0,"₹ 11,941/ sq ft ",,,"Ready to move,Unfurnished",9
9916,,1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","2,130 sq ft",2,3,3 BHK Apartment ,1900 sq ft,East,"4, ",Kharadi,Resale,,,Freehold,,15000000.0,"₹ 7,042/ sq ft ",,,"Ready to move,Unfurnished",12
9917,,1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","1,450 sq ft",2,2,2 BHK Apartment ,,East,"5, ",Kharadi,Resale,,,Freehold,,7300000.0,"₹ 5,034/ sq ft ",,,"Ready to move,Unfurnished",10
9918,"2 rooms( study room, pooja room )",,"Car Parking,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Landscaped Gardens","Lift Available,Power Backup,24 X 7 Security,Sports Facility",625 sq ft,1,1,1 BHK Apartment ,,North,"7, ",Wagholi,Resale,1,"Pool View, Garden View",Freehold,,2700000.0,"₹ 4,320/ sq ft ",Venkatesh Oxy Valley Phase 1,,"Ready to move,Unfurnished",10
